IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
ALIYA,KOBIETA,3
KATALINA,KOBIETA,3
KALA,KOBIETA,3
ARIELA,KOBIETA,3
DĄBRÓWKA,KOBIETA,3
ZŁATA,KOBIETA,3
WITALINA,KOBIETA,3
OLHA,KOBIETA,3
LINH,KOBIETA,3
NORA,KOBIETA,3
MARTINA,KOBIETA,3
TEODOZJA,KOBIETA,3
MARISA,KOBIETA,3
AMELIE,KOBIETA,3
MARIEM,KOBIETA,3
SAFIYA,KOBIETA,3
FLORIANNA,KOBIETA,3
WIESŁAWA,KOBIETA,3
DONATA,KOBIETA,3
RIMA,KOBIETA,3
LOTTA,KOBIETA,3
BAO AN,KOBIETA,3
FABIOLA,KOBIETA,3
STEFANIE,KOBIETA,3
ALDONA,KOBIETA,3
DAJANA,KOBIETA,2
YARYNA,KOBIETA,2
GAYA,KOBIETA,2
AMILIA,KOBIETA,2
ASYA,KOBIETA,2
YULIA,KOBIETA,2
ADELAIDA,KOBIETA,2
BOGDANA,KOBIETA,2
KARLA,KOBIETA,2
MİRA,KOBIETA,2
AWA,KOBIETA,2
ALISIIA,KOBIETA,2
ALIANA,KOBIETA,2
JOYCE,KOBIETA,2
KHRYSTYNA,KOBIETA,2
NALA,KOBIETA,2
SKYLAR,KOBIETA,2
CAROLINE,KOBIETA,2
ZAINAB,KOBIETA,2
HENRIETTA,KOBIETA,2
ELA,KOBIETA,2
NIKITA,KOBIETA,2
SAULĖ,KOBIETA,2
HOANG YEN,KOBIETA,2
VIVIANA,KOBIETA,2
AILA,KOBIETA,2
CHARLOTTA,KOBIETA,2
MOLLY,KOBIETA,2
GABRYJELA,KOBIETA,2
MANE,KOBIETA,2
SHEILA,KOBIETA,2
SALIMA,KOBIETA,2
UNA,KOBIETA,2
DAISY,KOBIETA,2
NARINA,KOBIETA,2
ITA,KOBIETA,2
MIRABELLE,KOBIETA,2
FLORENCJA,KOBIETA,2
YAMINA,KOBIETA,2
ISABELLE,KOBIETA,2
AYŞE,KOBIETA,2
MALAIKA,KOBIETA,2
DOBROMIRA,KOBIETA,2
VIVIANNA,KOBIETA,2
ASJA,KOBIETA,2
KORNELA,KOBIETA,2
ESTELLA,KOBIETA,2
MATHILDA,KOBIETA,2
QUỲNH MAI,KOBIETA,2
DELIA,KOBIETA,2
CLAUDIA,KOBIETA,2
NAWOJA,KOBIETA,2
ROZA,KOBIETA,2
KAYAH,KOBIETA,2
ANNABELL,KOBIETA,2
TELIMENA,KOBIETA,2
KSENIIA,KOBIETA,2
INDIA,KOBIETA,2
ASHANTI,KOBIETA,2
NIKOLINA,KOBIETA,2
AICHA,KOBIETA,2
JESSIKA,KOBIETA,2
IWETTA,KOBIETA,2
CYNTHIA,KOBIETA,2
NAIRA,KOBIETA,2
MARIANA,KOBIETA,2
OLYMPIA,KOBIETA,2
BIBIANNA,KOBIETA,2
LAVINIA,KOBIETA,2
MEGHAN,KOBIETA,2
KAMILLA,KOBIETA,2
MARUSIA,KOBIETA,2
IRINA,KOBIETA,2
HENRYKA,KOBIETA,2
GRACJANA,KOBIETA,2
VANESA,KOBIETA,2
ADELIA,KOBIETA,2
MINA,KOBIETA,2
EKATERINA,KOBIETA,2
ŻYWIA,KOBIETA,2
PIA,KOBIETA,2
ODA,KOBIETA,2
SILVIA,KOBIETA,2
FLORENCE,KOBIETA,2
ARKADIA,KOBIETA,2
SUMAYA,KOBIETA,2
LIV,KOBIETA,2
ELENI,KOBIETA,2
CHENXI,KOBIETA,2
GIULIA,KOBIETA,2
NAYA,KOBIETA,2
NOLA,KOBIETA,2
IANA,KOBIETA,2
VENERA,KOBIETA,2
GETA,KOBIETA,2
AYLIN,KOBIETA,2
ARLENA,KOBIETA,2
KAJLA,KOBIETA,2
MARGO,KOBIETA,2
KATALEYA,KOBIETA,2
ISABELA,KOBIETA,2
MALENA,KOBIETA,2
LAWINIA,KOBIETA,2
WILHELMINA,KOBIETA,2
PAOLA,KOBIETA,2
MIŁANA,KOBIETA,2
ELLIE,KOBIETA,2
AMALIIA,KOBIETA,2
MELANI,KOBIETA,2
TEREZA,KOBIETA,2
ALICA,KOBIETA,2
KLEOPATRA,KOBIETA,2
KASJANA,KOBIETA,2
MARGARYTA,KOBIETA,2
ASIA,KOBIETA,2
SHANAYA,KOBIETA,2
RABIJA,KOBIETA,2
BAO NHI,KOBIETA,2
AVNI,KOBIETA,2
APOLLONIA,KOBIETA,2
ALISHA,KOBIETA,2
NARIN,KOBIETA,2
TAISIYA,KOBIETA,2
MORGAN,KOBIETA,2
NANA,KOBIETA,2
MIKAYLA,KOBIETA,2
ROSIE,KOBIETA,2
SYBILLA,KOBIETA,2
MERYEM,KOBIETA,2
ANNA-MARIA,KOBIETA,2
AMBER,KOBIETA,2
ZORIA,KOBIETA,2
LIWIANA,KOBIETA,2
DELFINA,KOBIETA,2
KIM NGAN,KOBIETA,2
CHIARA,KOBIETA,2
LESIA,KOBIETA,2
ANELIA,KOBIETA,2
SUZANA,KOBIETA,2
KATRINA,KOBIETA,2
IVANA,KOBIETA,2
ODETTA,KOBIETA,2
DENISA,KOBIETA,2
STEFANIJA,KOBIETA,2
MIROSLAWA,KOBIETA,2
AMAIA,KOBIETA,2
ANNABELLE,KOBIETA,2
ZOÉ,KOBIETA,2
MELODIA,KOBIETA,2
ZORIANA,KOBIETA,2
ESTER,KOBIETA,2
VLADA,KOBIETA,2
NUTSA,KOBIETA,2
KATJA,KOBIETA,2
VIRA,KOBIETA,2
ELLE,KOBIETA,2
IGOR,KOBIETA,2
AN NHIEN,KOBIETA,2
ELZA,KOBIETA,2
ATENA,KOBIETA,2
ELIZABET,KOBIETA,2
ALISIA,KOBIETA,2
ROZANNA,KOBIETA,2
EUNIKA,KOBIETA,2
ALIAKSANDRA,KOBIETA,2
MADLEN,KOBIETA,2
EMILLY,KOBIETA,2
MARGOT,KOBIETA,2
ELISSA,KOBIETA,2
ELISABETH,KOBIETA,2
JOVITA,KOBIETA,2
MERIEM,KOBIETA,2
LENKA,KOBIETA,2
ANABELL,KOBIETA,2
TEJA,KOBIETA,2
EULALIA,KOBIETA,2
LILIIA,KOBIETA,2
AMADEA,KOBIETA,2
MELIA,KOBIETA,2
HAILEY,KOBIETA,2
NADJA,KOBIETA,2
NADINE,KOBIETA,2
IRYNA,KOBIETA,2
JIAYAN,KOBIETA,2
RAMONA,KOBIETA,2
NIKOLE,KOBIETA,2
YULIIA,KOBIETA,2
SALINA,KOBIETA,2
MARY,KOBIETA,2
LAYA,KOBIETA,2
EMMY,KOBIETA,2
BOHDANA,KOBIETA,2
YUXI,KOBIETA,2
ERIN,KOBIETA,2
CHANTAL,KOBIETA,2
MOIRA,KOBIETA,2
PENELOPE,KOBIETA,2
IWA,KOBIETA,2
KONSUELA,KOBIETA,2
